flight_number,date,booster_version,launch_site,payload,payload_mass_kg,orbit,customer,launch_outcome,booster_landing,launch_year,launch_site_code,success_flag
312.0,2024-03-21 20:55:00,F9 B5 B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209-4),2721.0,LEO (ISS),NASA (CRS),Success,Success (LZ‑1),2024.0,CCS,1
312.0,,"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.",2.0,"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.",,SaCmfD2waiM2rtIu2FloD2fS,0
313.0,2024-03-24 03:09:00,F9 B5 B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,KL,1
313.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
314.0,2024-03-25 23:42:00,F9 B5 B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
314.0,,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]",,Lo2Svmsta5k(moaaio4teicLttblapaa5haftoapsfDtFmtwci4d,0
315.0,2024-03-30 21:52:00,F9 B5 B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,5000.0,GTO,Eutelsat,Success,Success (JRTI),2024.0,KL,1
315.0,,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,11.0,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,,TbsFtSc1Fliacm,0
316.0,2024-03-31 01:30:00,F9 B5 B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
316.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,,Lo2Svmsta5k(moaaio4teicTmtftShc1Fliacm,0
317.0,2024-04-02 02:30:00,F9 B5 B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
317.0,,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta5k(moaaio5teic,0
318.0,2024-04-05 09:12:00,F9 B5 B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
318.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
319.0,2024-04-07 02:25:00,F9 B5 B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),16800.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
319.0,,"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsiswdcta5k(moaaio5teic,0
320.0,2024-04-07 23:16:00,F9 B5 B1073‑14,"Kennedy, LC‑39A",Bandwagon-1 (11 payload smallsat rideshare),0.0,LEO,Various,Success,Success (LZ‑1),2024.0,KL,1
320.0,,"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).",800.0,"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).",,DSRmt4i5k(maTmif2o4PamSsoSKwamo~k(l,0
321.0,2024-04-10 05:40:00,F9 B5 B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
321.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,,Lo2Svmsta5k(moaaio4teic1tfafhft1t,0
322.0,2024-04-11 14:25:00,F9 B5 B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),1200.0,SSO,USSF,Success,Success (LZ‑4),2024.0,VS,1
322.0,,"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]",2.0,"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]",,LpoP2USFcai2TwtflotWSFMwswrtaDMSPs,0
323.0,2024-04-13 01:40:00,F9 B5 B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
323.0,,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.",,Lo2Svmsta5k(moaaio4teicFbtfft2tnr,0
324.0,2024-04-17 21:26:00,F9 B5 B1077‑12,"Kennedy, LC‑39A",Starlink: Group 6-51 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,KL,1
324.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
325.0,2024-04-18 22:40:00,F9 B5 B1080‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-52 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
325.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
326.0,2024-04-23 22:17:00,F9 B5 B1078‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-53 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
326.0,,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]",,Lo2Svmsta5k(moaaio4teic3FblibF9aFHb,0
327.0,2024-04-28 00:34:00,F9 B5 B1060‑20,"Kennedy, LC‑39A",Galileo-L12 (FOC FM25 & FM27),1600.0,MEO,ESA,Success,No attempt,2024.0,KL,1
327.0,,"First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.",6.0,"First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.",,FGsboaUrfdttEA6pTbweotmdttpntgtpttd2ko,0
328.0,2024-04-28 22:08:00,F9 B5 B1076‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-54 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
328.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,,Lo2Svmsta5k(moaaio4teic3csF9l,0
329.0,2024-05-02 18:36:00,F9 B5 B1061‑20,"Vandenberg, SLC‑4E",WorldView Legion 1 & 2,1500.0,SSO,Maxar Technologies,Success,Success (LZ‑4),2024.0,VS,1
329.0,,"Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",100.0,"Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,TMTsbbsSfsDNfwsnssaalcailcbiosfmwlpr,0
330.0,2024-05-03 02:37:00,F9 B5 B1067‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-55 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
330.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 18th time.,,Lo2Svmsta5k(moaaio4teic1tfafhft1t,0
331.0,2024-05-06 18:14:00,F9 B5 B1069‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-57 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
331.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
332.0,2024-05-08 18:42:00,F9 B5 B1083‑3,"Kennedy, LC‑39A",Starlink: Group 6-56 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,KL,1
332.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,Lo2Svmsta5k(moaaio4teic,0
333.0,2024-05-10 04:30:00,F9 B5 B1082‑4,"Vandenberg, SLC‑4E",Starlink: Group 8-2 (20 satellites),16300.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
333.0,,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",20.0,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsi1wdcta5k(moaaio5teic,0
334.0,2024-05-13 00:53:00,F9 B5 B1073‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-58 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
